1_Mục_đích_sd_srm,4_Sd_khi_nào,5_Mua_ở_đâu,6_Quảng_cáo_ở_đâu,91_Thích_hương_trái_cây?,92_Thích_hương_rau_củ?,93_Thích_hương_hoa_cỏ?,15_Xuất_xứ,16_Mua_online_ở_đâu,17_Mua_offline_ở_đâu,20_Lo_ngại_về_srm
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Nhà thuốc","Gia đình; người thân, Tự tìm hiểu, Bạn bè","Cam, Chanh","Nha đam, Rau má",Lavender,Mỹ,Website của hãng,Nhà thuốc,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Bạn bè",,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",Chanh,Rau má,Lavender,Hàn Quốc,Sàn thương mại điện tử,Siêu thị,Tác dụng phụ; gây kích ứng; bong tróc da
"Cấp ẩm; cân bằng độ pH, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau","Sau khi thức dậy, Trước khi make-up","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu","Táo, Đào","Thảo mộc, Rau má","Anh đào, Trà xanh",Nhật Bản,"Website của hãng, Sàn thương mại điện tử","Siêu thị, Các cửa hàng mỹ phẩm",Không có hiệu quả hoặc hiệu quả kém
Cấp ẩm; cân bằng độ pH,"Sau khi thức dậy, Trước khi ra đường","Hàng xách tay, Siêu thị; trung tâm thương mại",Truyền thông; quảng cáo,"Việt quất, Đào","Cà chua, Cần tây",Anh đào,Nhật Bản,Sàn thương mại điện tử,Cửa hàng chính hãng,Sản phẩm không có nguồn gốc rõ ràng
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi thức dậy,Siêu thị; trung tâm thương mại,Tự tìm hiểu,,,,Hàn Quốc,Sàn thương mại điện tử,Siêu thị,Không có hiệu quả hoặc hiệu quả kém
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Các cửa hàng mỹ phẩm","Nhân viên tiếp thị, Tư vấn từ bác sĩ, Tự tìm hiểu",,,,"Mỹ, Úc, Đức",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Gia đình; người thân, Tự tìm hiểu, Bạn bè","Cherry, Việt quất, Đào","Dưa leo, Thảo mộc, Nha đam","Hoa hồng, Anh đào, Trà xanh","Mỹ, Canada, Hàn Quốc",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Khác,Thảo mộc,Trà xanh,"Nhật Bản, Hàn Quốc, Anh",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tự tìm hiểu",Cam,Nha đam,Lavender,Hàn Quốc,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Nhân viên tiếp thị, Gia đình; người thân",,,,"Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Siêu thị, Tạp hoá, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Website của hãng, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè","Dâu, Táo","Thảo mộc, Nha đam","Anh đào, Hoa cúc","Hàn Quốc, Pháp, Anh",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm",Truyền thông; quảng cáo,,,,Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Không có hiệu quả hoặc hiệu quả kém
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Tự tìm hiểu",Đào,"Thảo mộc, Nha đam","Lavender, Trà xanh","Nhật Bản, Hàn Quốc, Đức","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...,"Sau khi thức dậy, Trước khi đi ngủ",Siêu thị; trung tâm thương mại,Tự tìm hiểu,,,,Hàn Quốc,Sàn thương mại điện tử,Siêu thị,Không có hiệu quả hoặc hiệu quả kém
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi thức dậy,Siêu thị; trung tâm thương mại,Truyền thông; quảng cáo,,,,Mỹ,Sàn thương mại điện tử,Siêu thị,Tác dụng phụ; gây kích ứng; bong tróc da
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi thức dậy,"Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi",Truyền thông; quảng cáo,,,,Nhật Bản,Sàn thương mại điện tử,Cửa hàng chính hãng,Tác dụng phụ; gây kích ứng; bong tróc da
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi, Nhà thuốc","Tư vấn từ bác sĩ, Gia đình; người thân, Bạn bè","Táo, Việt quất, Chanh","Dưa leo, Nha đam, Rau má","Lavender, Trà xanh, Hoa cúc","Nhật Bản, Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Siêu thị, Tạp hoá, Nhà thuốc","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Cam, Chanh","Thảo mộc, Nha đam",Trà xanh,Nhật Bản,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tự tìm hiểu, Bạn bè, Đồng nghiệp","Dâu, Cherry, Đào","Dưa leo, Nha đam, Rau má","Lavender, Hoa hồng, Anh đào","Mỹ, Hàn Quốc",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Sản phẩm không có nguồn gốc rõ ràng
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Tự tìm hiểu",,,,"Mỹ, Pháp","Website của hãng, Sàn thương mại điện tử",Cửa hàng chính hãng,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Chuyên viên, Tự tìm hiểu",,,,"Mỹ, Canada","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Tự tìm hiểu, Bạn bè","Táo, Chanh","Dưa leo, Nha đam","Lavender, Hoa hồng",Mỹ,"Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",Khác,"Thảo mộc, Nha đam, Rau má","Trà xanh, Hoa cúc","Mỹ, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Tư vấn từ bác sĩ, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Trước khi đi ngủ,Nhà thuốc,"Truyền thông; quảng cáo, Gia đình; người thân",Đào,"Thảo mộc, Nha đam",Lavender,Hàn Quốc,Website của hãng,"Nhà thuốc, Các cửa hàng mỹ phẩm",Không có hiệu quả hoặc hiệu quả kém
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng","Tư vấn từ bác sĩ, Tự tìm hiểu","Cherry, Đào",Nha đam,Lavender,"Mỹ, Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử",Cửa hàng chính hãng,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tự tìm hiểu",,,,"Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Tạp hoá","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Tạp hóa","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè","Táo, Đào, Chanh","Dưa leo, Nha đam","Lavender, Hoa hồng","Mỹ, Hàn Quốc, Việt Nam",Sàn thương mại điện tử,"Siêu thị, Tạp hoá","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu","Cam, Chanh","Dưa leo, Cà chua","Hoa hồng, Trà xanh","Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng",Truyền thông; quảng cáo,,,,"Mỹ, Nhật Bản",Sàn thương mại điện tử,Cửa hàng chính hãng,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Trước khi ra đường, Sau khi về nhà, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân",Dâu,"Dưa leo, Nha đam",Hoa hồng,"Nhật Bản, Hàn Quốc, Pháp",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè",,,,"Mỹ, Hàn Quốc, Việt Nam",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng",Tự tìm hiểu,"Cherry, Cam",Nha đam,Hoa cúc,"Hàn Quốc, Khác",Sàn thương mại điện tử,Cửa hàng chính hãng,Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Hàn Quốc,Sàn thương mại điện tử,Siêu thị,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Canada,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Gia đình; người thân, Tự tìm hiểu, Bạn bè",Đào,"Dưa leo, Thảo mộc, Nha đam","Lavender, Anh đào, Trà xanh",Pháp,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi","Gia đình; người thân, Bạn bè",Cam,Thảo mộc,Trà xanh,Nhật Bản,"Website của hãng, Sàn thương mại điện tử","Siêu thị, Tạp hoá, Nhà thuốc, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi về nhà, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Pháp, Đức",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Sau khi về nhà,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân",Đào,"Nha đam, Rau má","Anh đào, Trà xanh","Nhật Bản, Hàn Quốc, Việt Nam",Sàn thương mại điện tử,Nhà thuốc,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Nhà thuốc","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Dâu, Việt quất, Chanh",Thảo mộc,Lavender,"Hàn Quốc, Khác","Website của hãng, Sàn thương mại điện tử","Siêu thị, Nhà thuốc","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Gia đình; người thân, Bạn bè","Táo, Việt quất, Chanh",Nha đam,"Lavender, Trà xanh",Hàn Quốc,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,Các sàn thương mại điện tử,"Tư vấn từ bác sĩ, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Hàn Quốc",Sàn thương mại điện tử,Nhà thuốc,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ da căng bóng, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Nhân viên tiếp thị, Chuyên viên",,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Sản phẩm không có nguồn gốc rõ ràng
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè","Cherry, Việt quất, Đào","Thảo mộc, Nha đam, Rau má","Lavender, Anh đào, Trà xanh",Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng",Tự tìm hiểu,"Đào, Cam, Chanh",Nha đam,Hoa cúc,"Hàn Quốc, Pháp, Anh","Website của hãng, Sàn thương mại điện tử",Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Trước khi make-up,Website của hãng,Tư vấn từ bác sĩ,Mâm xôi,Nha đam,Trà xanh,Mỹ,Website của hãng,Nhà thuốc,Sản phẩm không có nguồn gốc rõ ràng
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,Tự tìm hiểu,Táo,Nha đam,"Lavender, Trà xanh","Hàn Quốc, Pháp, Việt Nam",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Website của hãng","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Chuyên viên","Cherry, Đào, Cam","Thảo mộc, Nha đam, Rau má","Lavender, Anh đào, Trà xanh","Mỹ, Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Nhà thuốc, Các cửa hàng mỹ phẩm",Tác dụng phụ; gây kích ứng; bong tróc da
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi về nhà,"Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,Pháp,Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi về nhà,"Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Tự tìm hiểu","Cherry, Việt quất","Thảo mộc, Nha đam",Trà xanh,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
Hỗ trợ làm trắng da,Sau khi thức dậy,Các sàn thương mại điện tử,Truyền thông; quảng cáo,Táo,Nha đam,Lavender,Mỹ,Website của hãng,Cửa hàng chính hãng,Hàng giả; hàng nhái
